X,Y,Z,SAMPLE_1,X,Y
632531.137011762,4212481.22977576,0,360.961761474609,"632531","4212481"
632522.150355751,4212476.84343176,0,360.339538574219,"632522","4212477"
632513.163699739,4212472.45708775,0,360.339538574219,"632513","4212472"
632504.177043728,4212468.07074375,0,360.339538574219,"632504","4212468"
632495.190387717,4212463.68439974,0,358.829284667969,"632495","4212464"
632486.203731706,4212459.29805574,0,358.829284667969,"632486","4212459"
632477.217075694,4212454.91171173,0,356.938232421875,"632477","4212455"
632468.230419683,4212450.52536773,0,356.938232421875,"632468","4212451"
632459.243763672,4212446.13902372,0,359.291809082031,"632459","4212446"
632450.25710766,4212441.75267972,0,356.863708496094,"632450","4212442"
632441.270451649,4212437.36633571,0,356.863708496094,"632441","4212437"
632432.283795638,4212432.9799917,0,356.863708496094,"632432","4212433"
632423.297139626,4212428.5936477,0,354.134979248047,"632423","4212429"
632414.310483615,4212424.20730369,0,354.134979248047,"632414","4212424"
632405.323827604,4212419.82095969,0,351.625,"632405","4212420"
632396.364290259,4212415.37972332,0,351.625,"632396","4212415"
632387.420018349,4212410.90758737,0,351.625,"632387","4212411"
632378.475746439,4212406.43545141,0,351.173583984375,"632378","4212406"
632369.531474529,4212401.96331546,0,351.173583984375,"632370","4212402"
632360.587202619,4212397.4911795,0,349.770141601562,"632361","4212397"
632351.642930709,4212393.01904355,0,349.770141601562,"632352","4212393"
632342.698658799,4212388.54690759,0,349.770141601562,"632343","4212389"
632333.754386889,4212384.07477164,0,348.584320068359,"632334","4212384"
632324.810114979,4212379.60263568,0,348.584320068359,"632325","4212380"
632315.865843069,4212375.13049973,0,348.584320068359,"632316","4212375"
632306.921571159,4212370.65836377,0,349.778533935547,"632307","4212371"
632297.977299249,4212366.18622782,0,349.778533935547,"632298","4212366"
632289.033027339,4212361.71409186,0,349.683502197266,"632289","4212362"
632280.088755429,4212357.24195591,0,349.683502197266,"632280","4212357"
632271.144483519,4212352.76981995,0,349.683502197266,"632271","4212353"
632262.200211609,4212348.297684,0,350.023498535156,"632262","4212348"
632253.255939699,4212343.82554804,0,350.023498535156,"632253","4212344"
632244.311667789,4212339.35341209,0,350.023498535156,"632244","4212339"
632235.367395879,4212334.88127613,0,350.607055664062,"632235","4212335"
632226.423123969,4212330.40914018,0,353.649810791016,"632226","4212330"
632217.478852059,4212325.93700422,0,354.534027099609,"632217","4212326"
632208.534580149,4212321.46486827,0,354.534027099609,"632209","4212321"
632199.590308239,4212316.99273231,0,354.534027099609,"632200","4212317"
632190.646036329,4212312.52059636,0,355.155456542969,"632191","4212313"
632181.701764419,4212308.0484604,0,355.155456542969,"632182","4212308"
632172.757492509,4212303.57632445,0,355.967834472656,"632173","4212304"
632163.813220599,4212299.10418849,0,355.967834472656,"632164","4212299"
632154.868948689,4212294.63205254,0,355.967834472656,"632155","4212295"
632145.924676779,4212290.15991658,0,361.555419921875,"632146","4212290"
632136.980404869,4212285.68778063,0,361.555419921875,"632137","4212286"
