id,X,Y,SAMPLE_1
,"630757","4213461",375
,"630810","4213341",410
,"630848","4213249",415
,"630903","4213573",375
,"630963","4213434",410
,"630997","4213353",415
,"630955","4213604",370
,"631005","4213466",417
,"631044","4213400",425
,"631247","4213807",370
,"631292","4213715",414.185577392578
,"631319","4213662",417.282409667969
,"631358","4213880",365
,"631396","4213789",412.390045166016
,"631418","4213745",415.426116943359
,"631491","4213976",360
,"631525","4213884",400.7353515625
,"631542","4213821",402.254058837891
,"631576","4214031",360
,"631621","4213950",386.352722167969
,"631634","4213904",392.951599121094
,"631659","4214086",345
,"631710","4213998",373.540649414062
,"631723","4213945",383.530334472656
,"631745","4214150",340
,"631791","4214041",358.421295166016
,"631798","4213995",366.637359619141
,"631859","4214226",335
,"631900","4214086",362.332244873047
,"631920","4214051",370.130218505859
,"631922","4214266",345
,"631973","4214147",346.326385498047
,"631998","4214114",363.739105224609
,"632001","4214314",340
,"632051","4214213",346.326385498047
,"632066","4214180",360.379425048828
,"632056","4214352",345
,"632109","4214248",346.326385498047
,"632125","4214215",358.968597412109
,"632082","4214385",325
,"632168","4214286",346.326385498047
,"632200","4214268",352.410461425781
