id,SAMPLE_1,X,Y
,390.43310546875,"632389","4212088"
,381.327789306641,"632298","4212126"
,378.704925537109,"632434","4212212"
,391.521850585938,"632424","4212105"
,381.327789306641,"632298","4212130"
,393.241943359375,"632469","4212116"
,393.241943359375,"632469","4212114"
,390.521331787109,"632585","4212310"
,401.587341308594,"632590","4212151"
,411.845153808594,"632686","4212195"
,376.992034912109,"632695","4212382"
,411.845153808594,"632688","4212193"
,411.304107666016,"632725","4212223"
,375.607086181641,"632739","4212389"
,407.417938232422,"632772","4212270"
,395.5849609375,"632798","4212314"
,374.034210205078,"632840","4212424"
,395.5849609375,"632800","4212321"
,382.765014648438,"632921","4212450"
,374.789855957031,"632742","4212387"
,396.302520751953,"632805","4212324"
