X,Y
631574.8535875062,4213857.395959114
631605.2185060058,4213813.055555111
631639.2797504371,4213763.317587302
631691.9212608334,4213686.447766682
631776.6896844124,4213562.664587481
631815.4775277186,4213506.02459872
631890.1519672831,4213396.981170234
631942.3805782152,4213320.714286488
631960.0829750925,4213294.864342932
632017.2630798629,4213211.367035127
632082.3825969686,4213116.2761921575
632248.1694896312,4212874.18570873
632519.3964869505,4212478.126202184
632594.3126391615,4212368.729812554
632619.9990618431,4212331.221186964
632702.6030297639,4212210.598656402
632767.4317499759,4212115.932449901
