X,Y,Z,ele,SAMPLE_1
-1.492954149,38.066515329,0,,352.410461425781
-1.493821403,38.066077036,0,,358.968597412109
-1.494491998,38.065771477,0,,358.368865966797
-1.495286253,38.065161926,0,,363.739105224609
-1.496190342,38.06463376,0,,370.130218505859
-1.497582128,38.064131243,0,,366.637359619141
-1.49847265,38.063673529,0,,383.530334472656
-1.499469919,38.063334009,0,,392.951599121094
-1.500596978,38.06262662,0,,404.347961425781
-1.502011661,38.06191702,0,,415.426116943359
-1.503091307,38.061199367,0,,417.282409667969
-1.504586881,38.060055969,0,,424.818634033203
-1.505580299,38.059347144,0,,432.210418701172
-1.506293043,38.058874718,0,,432.571319580078
-1.506803605,38.058456654,0,,428.449340820312
-1.50851753,38.057565337,0,,424.751678466797
-1.508909986,38.057096208,0,,422.359619140625
-1.508625052,38.057002311,0,,423.002166748047
-1.508615366,38.057061962,0,,424.001495361328
-1.507578468,38.057571597,0,,431.389953613281
-1.506623216,38.058044995,0,,436.369659423828
-1.506249287,38.058259486,0,,436.885650634766
-1.505871613,38.058408555,0,,439.595733642578
-1.505378971,38.058622865,0,,440.907745361328
-1.505114621,38.058926138,0,,438.094696044922
-1.504537952,38.059315883,0,,428.292083740234
-1.503828525,38.059628175,0,,420.161743164062
-1.503758271,38.05967169,0,,420.889831542969
-1.503713856,38.059700296,0,,416.867492675781
-1.502344649,38.060071092,0,,397.765350341797
-1.50231859,38.060087097,0,,397.765350341797
-1.50069635,38.060518074,0,,389.054168701172
-1.499801876,38.060885217,0,,383.315124511719
-1.498924999,38.061457728,0,,373.364898681641
-1.497709414,38.061939434,0,,366.140228271484
-1.49698444,38.06258633,0,,361.551727294922
-1.496101894,38.063269403,0,,359.820343017578
-1.494784527,38.063805278,0,,360.754852294922
-1.493442921,38.064321161,0,,346.326385498047
-1.492370839,38.064579814,0,,346.326385498047
-1.491623535,38.064957978,0,,346.326385498047
